5.7864797	-0.042444822   1.0186757    -0.16129032    -30.560272    -29.626486
5.8000456	-0.042444822   1.0186757    -0.16129032    -30.008489    -29.117148
5.8207934	-0.042444822   1.0186757    -0.16129032    -29.272779    -28.480475
5.8415413	-0.042444822   1.0186757    -0.16129032    -28.537068    -27.716469
5.8622891	-0.042444822   1.0186757    -0.13440860    -27.801358    -27.079796
5.8830369	-0.042444822   1.0186757    -0.13440860    -27.065648    -26.443124
5.9037848	0.084889643    0.59422750   -0.13440860    -26.513865    -25.806452
5.9245326	0.084889643    0.59422750   -0.13440860    -25.778155    -25.169779
5.9452804	0.084889643    0.59422750   -0.13440860    -25.226372    -24.660441
5.9660283	0.084889643    0.59422750   -0.10752688    -24.490662    -24.023769
5.9867761	0.084889643    0.59422750   -0.10752688    -23.938879    -23.514431
6.0003420	0.084889643    0.59422750   -0.10752688    -23.571024    -23.132428
6.0210898	0.084889643    0.59422750   -0.10752688    -23.019242    -22.623090
6.0418377	0.084889643    0.59422750   -0.10752688    -22.467459    -22.113752
6.0625855	0.084889643    0.59422750   -0.080645161   -21.915676    -21.604414
6.0833333	0.084889643    0.59422750   -0.080645161   -21.363894    -21.095076
6.1040812	0.084889643    0.16977929   -0.080645161   -20.812111    -20.585739
6.1248290	0.084889643    0.16977929   -0.080645161   -20.260328    -20.203735
6.1455768	0.084889643    0.16977929   -0.053763441   -19.892473    -19.694397
6.1663247	0.084889643    0.16977929   -0.053763441   -19.340690    -19.185059
6.1870725	0.084889643    0.16977929   -0.053763441   -18.972835    -18.803056
6.1998404	0.084889643    0.16977929   -0.053763441   -18.604980    -18.548387
6.2205882	0.084889643    0.16977929   -0.053763441   -18.237125    -18.166384
6.2413361	0.084889643    0.16977929   -0.053763441   -17.685342    -17.657046
6.2620839	0.084889643    0.16977929   -0.053763441   -17.317487    -17.275042
6.2828317	0.084889643    0.16977929   -0.053763441   -16.949632    -16.893039
6.3035796	0.084889643    0.16977929   -0.053763441   -16.581777    -16.511036
6.3243274	0.084889643    0.16977929   -0.053763441   -16.213922    -16.129032
6.3450752	0.084889643    0.16977929   -0.053763441   -15.846067    -15.747029
6.3658231	0.084889643    0.16977929   -0.053763441   -15.478212    -15.365025
6.3865709	0.084889643    0.16977929   -0.053763441   -15.110357    -15.110357
6.4001368	0.084889643    0.16977929   -0.053763441   -14.926429    -14.855688
6.4208846	0.084889643    0.16977929   -0.053763441   -14.558574    -14.473684
6.4416325	0.084889643    0.16977929   -0.053763441   -14.374646    -14.219015
6.4623803	0.084889643    0.16977929   -0.053763441   -14.006791    -13.837012
6.4831281	0.084889643    0.16977929   -0.053763441   -13.638936    -13.582343
6.5038760	0.084889643    0.16977929   -0.053763441   -13.455008    -13.327674
6.5246238	0.084889643    0.16977929   -0.026881720   -13.087153    -13.073005
6.5453716	0.084889643    0.16977929   -0.026881720   -12.903226    -12.691002
6.5661195	0.084889643    0.16977929   -0.026881720   -12.535371    -12.436333
6.5868673	0.084889643    0.16977929   -0.026881720   -12.351443    -12.181664
6.5996352	0.084889643    0.16977929   -0.026881720   -12.167516    -12.054329
6.6203830	0.084889643    0.16977929   -0.026881720   -11.983588    -11.799660
6.6411309	0.084889643    0.16977929   -0.026881720   -11.615733    -11.544992
6.6618787	0.084889643    0.16977929   -0.026881720   -11.431805    -11.290323
6.6826265	0.084889643    0.16977929   -0.026881720   -11.247878    -11.035654
6.7033744	0.084889643    0.16977929   -0.026881720   -10.880023    -10.908319
6.7241222	0.084889643    0.16977929   -0.026881720   -10.696095    -10.653650
6.7448700	0.084889643    0.16977929   -0.026881720   -10.512168    -10.398981
6.7656179	0.084889643    0.16977929   -0.026881720   -10.328240    -10.271647
6.7863657	0.084889643    0.16977929   -0.026881720   -10.144312    -10.016978
6.7999316	0.084889643    0.16977929   -0.026881720   -9.9603848    -9.8896435
6.8206794	0.084889643    0.16977929   -0.026881720   -9.7764573    -9.6349745
6.8414273	0.084889643    0.16977929   -0.026881720   -9.5925297    -9.5076401
6.8621751	0.084889643    0.16977929   -0.026881720   -9.4086022    -9.2529711
6.8829229	0.084889643    0.16977929   -0.026881720   -9.2246746    -9.1256367
6.9036708	0.084889643    0.16977929   -0.026881720   -9.0407470    -8.9983022
6.9244186	0.084889643    0.16977929   -0.026881720   -8.8568195    -8.7436333
6.9451664	0.084889643    0.16977929   -0.026881720   -8.6728919    -8.6162988
6.9659143	0.084889643    0.16977929   -0.026881720   -8.4889643    -8.3616299
6.9866621	0.084889643    0.16977929   -0.026881720   -8.3050368    -8.2342954
7.0002280	0.084889643    0.16977929   -0.026881720   -8.1211092    -8.1069610
