#  theta    R       E_CP
    75    10.0       -0.55

    90     2.7     1285.81
    90     2.8      757.03
    90     2.9      399.96
    90     3.0      164.57
    90     3.1       14.08
    90     3.2      -78.04
    90     3.3     -130.60
    90     3.4     -156.90
    90     3.5     -166.14
    90     3.6     -164.79
    90     3.7     -157.12
    90     3.8     -145.99
    90     3.9     -133.32
    90     4.0     -120.27
    90     4.1     -107.58
    90     4.2      -95.67
    90     4.3      -84.74
    90     4.4      -74.88
    90     4.5      -66.07
    90     4.6      -58.26
    90     4.7      -51.39
    90     4.8      -45.34
    90     4.9      -40.05
    90     5.0      -35.41
    90     5.1      -31.36
    90     5.2      -27.81
    90     5.3      -24.71
    90     5.4      -21.99
    90     5.5      -19.61
    90     5.6      -17.53
    90     5.7      -15.70
    90     5.8      -14.08
    90     5.9      -12.66
    90     6.0      -11.41
    90     6.1      -10.30
    90     6.2       -9.32
    90     6.3       -8.44
    90     6.4       -7.66
    90     6.5       -6.97
    90     6.6       -6.35
    90     6.7       -5.79
    90     6.8       -5.29
    90     6.9       -4.84
    90     7.0       -4.43
    90     7.1       -4.07
    90     7.2       -3.73
    90     7.3       -3.43
    90     7.4       -3.16
    90     7.5       -2.92
    90     7.6       -2.69
    90     7.7       -2.49
    90     7.8       -2.30
    90     7.9       -2.13
    90     8.0       -1.98
    90     8.1       -1.84
    90     8.2       -1.71
    90     8.3       -1.59
    90     8.4       -1.48
    90     8.5       -1.38
    90     8.6       -1.29
    90     8.7       -1.20
    90     8.8       -1.12
    90     8.9       -1.05
    90     9.0       -0.99
    90     9.1       -0.92
    90     9.2       -0.87
    90     9.3       -0.82
    90     9.4       -0.77
    90     9.5       -0.72
    90     9.6       -0.68
    90     9.7       -0.64
    90     9.8       -0.60
    90     9.9       -0.57
    90    10.0       -0.54

   105     2.7     1659.95
   105     2.8     1031.26
   105     2.9      596.37
   105     3.0      301.38
   105     3.1      106.16
   105     3.2      -18.85
   105     3.3      -95.22
   105     3.4     -138.28
   105     3.5     -159.22
   105     3.6     -165.63
   105     3.7     -162.91
   105     3.8     -154.74
   105     3.9     -143.58
   105     4.0     -131.10
   105     4.1     -118.33
   105     4.2     -105.94
   105     4.3      -94.30
   105     4.4      -83.61
   105     4.5      -73.94
   105     4.6      -65.29
   105     4.7      -57.62
   105     4.8      -50.84
   105     4.9      -44.89
   105     5.0      -39.67
   105     5.1      -35.10
