#  theta    R       E_CP
    75     6.5      -7.15
    75     6.6      -6.51
    75     6.7      -5.94
    75     6.8      -5.42
    75     6.9      -4.96
    75     7.0      -4.54
    75     7.1      -4.16
    75     7.2      -3.82
    75     7.3      -3.52
    75     7.4      -3.24
    75     7.5      -2.98
    75     7.6      -2.75
    75     7.7      -2.55
    75     7.8      -2.35
    75     7.9      -2.18
    75     8.0      -2.02
    75     8.1      -1.88
    75     8.2      -1.74
    75     8.3      -1.62
    75     8.4      -1.51
    75     8.5      -1.41
    75     8.6      -1.32
    75     8.7      -1.23
    75     8.8      -1.15
    75     8.9      -1.08
    75     9.0      -1.01
    75     9.1      -0.94
    75     9.2      -0.89
    75     9.3      -0.83
    75     9.4      -0.78
    75     9.5      -0.74
    75     9.6      -0.69
    75     9.7      -0.65
    75     9.8      -0.62
    75     9.9      -0.58
    75    10.0      -0.55
 
    90     2.7    1640.24
    90     2.8    1001.39
    90     2.9     568.01
    90     3.0     279.65
    90     3.1      92.52
    90     3.2     -24.82
    90     3.3     -94.73
    90     3.4    -132.94
    90     3.5    -150.38
    90     3.6    -154.58
    90     3.7    -150.67
    90     3.8    -142.08
    90     3.9    -131.09
    90     4.0    -119.13
    90     4.1    -107.17
    90     4.2     -95.70
    90     4.3     -85.05
    90     4.4     -75.33
    90     4.5     -66.59
    90     4.6     -58.80
    90     4.7     -51.91
    90     4.8     -45.85
    90     4.9     -40.52
    90     5.0     -35.84
    90     5.1     -31.76
    90     5.2     -28.18
    90     5.3     -25.04
    90     5.4     -22.30
    90     5.5     -19.90
    90     5.6     -17.79
    90     5.7     -15.93
    90     5.8     -14.30
    90     5.9     -12.86
    90     6.0     -11.59
    90     6.1     -10.46
    90     6.2      -9.46
    90     6.3      -8.58
    90     6.4      -7.78
    90     6.5      -7.08
    90     6.6      -6.45
    90     6.7      -5.88
    90     6.8      -5.37
    90     6.9      -4.91
    90     7.0      -4.50
    90     7.1      -4.13
    90     7.2      -3.79
    90     7.3      -3.49
    90     7.4      -3.21
    90     7.5      -2.96
    90     7.6      -2.73
    90     7.7      -2.53
    90     7.8      -2.34
    90     7.9      -2.16
    90     8.0      -2.01
    90     8.1      -1.86
    90     8.2      -1.73
    90     8.3      -1.61
    90     8.4      -1.50
    90     8.5      -1.40
    90     8.6      -1.31
    90     8.7      -1.22
    90     8.8      -1.14
    90     8.9      -1.07
    90     9.0      -1.00
    90     9.1      -0.94
    90     9.2      -0.88
    90     9.3      -0.83
    90     9.4      -0.78
    90     9.5      -0.73
    90     9.6      -0.69
    90     9.7      -0.65
    90     9.8      -0.61
    90     9.9      -0.58
    90    10.0      -0.55

   105     2.7    3077.35
   105     2.8    2068.35
   105     2.9    1353.16
   105     3.0     851.91
   105     3.1     505.19
   105     3.2     269.22
   105     3.3     111.78
   105     3.4       9.64
   105     3.5     -54.23
   105     3.6     -91.64
   105     3.7    -111.22
   105     3.8    -119.00
